??:??:??  $GPGSV,3,1,10,03,30,129,34,06,56,277,47,11,24,297,40,14,48,020,46*74
17:54:08  $GNGGA,175408.00,3352.55923,S,01836.68939,E,2,11,0.94,226.2,M,31.2,M,,0000*54
17:54:08  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:08  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:08  $GPGSV,3,1,10,03,30,129,36,06,57,276,47,11,24,297,40,14,48,020,43*73
17:54:08  $GPGSV,3,2,10,17,60,136,47,19,59,198,47,20,03,336,33,28,,,42*42
17:54:08  $GPGSV,3,3,10,36,48,022,44,49,48,337,43*70
17:54:08  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,29,79,31,348,43*62
17:54:08  $GLGSV,3,2,09,80,52,264,,81,26,134,38,82,51,195,46,83,32,255,29*60
17:54:08  $GLGSV,3,3,09,,,,32*6D
17:54:08  $GNGLL,3352.55923,S,01836.68939,E,175408.00,A,D*6E
17:54:09  $GNRMC,175409.00,A,3352.55916,S,01836.68938,E,0.344,,190822,,,D*72
17:54:09  $GNVTG,,T,,M,0.344,N,0.637,K,D*39
17:54:09  $GNGGA,175409.00,3352.55916,S,01836.68938,E,2,11,0.94,225.9,M,31.2,M,,0000*5A
17:54:09  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:09  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:09  $GPGSV,3,1,10,03,30,129,39,06,57,276,48,11,24,297,36,14,48,020,44*75
17:54:09  $GPGSV,3,2,10,17,60,136,43,19,59,198,46,20,03,336,29,28,,,40*4E
17:54:09  $GPGSV,3,3,10,36,48,022,45,49,48,337,46*74
17:54:09  $GLGSV,3,1,09,65,00,162,,66,24,113,24,67,21,057,29,79,31,348,41*66
17:54:09  $GLGSV,3,2,09,80,52,264,,81,26,134,36,82,51,195,44,83,32,255,29*6C
17:54:09  $GLGSV,3,3,09,,,,33*6C
17:54:09  $GNGLL,3352.55916,S,01836.68938,E,175409.00,A,D*68
17:54:10  $GNRMC,175410.00,A,3352.55910,S,01836.68938,E,0.165,,190822,,,D*7D
17:54:10  $GNVTG,,T,,M,0.165,N,0.305,K,D*3C
17:54:10  $GNGGA,175410.00,3352.55910,S,01836.68938,E,2,11,0.94,226.0,M,31.2,M,,0000*5E
17:54:10  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:10  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:10  $GPGSV,3,1,10,03,30,129,36,06,57,276,48,11,24,297,40,14,47,020,44*74
17:54:10  $GPGSV,3,2,10,17,60,136,45,19,59,198,46,20,03,336,30,28,,,41*41
17:54:10  $GPGSV,3,3,10,36,48,022,44,49,48,337,45*76
17:54:10  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,30,79,31,348,43*6A
17:54:10  $GLGSV,3,2,09,80,52,264,,81,26,134,31,82,51,195,44,83,32,255,27*65
17:54:10  $GLGSV,3,3,09,,,,26*68
17:54:10  $GNGLL,3352.55910,S,01836.68938,E,175410.00,A,D*66
17:54:11  $GNRMC,175411.00,A,3352.55910,S,01836.68938,E,0.037,,190822,,,D*7A
17:54:11  $GNVTG,,T,,M,0.037,N,0.069,K,D*33
17:54:11  $GNGGA,175411.00,3352.55910,S,01836.68938,E,2,11,0.94,226.1,M,31.2,M,,0000*5E
17:54:11  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:11  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:11  $GPGSV,3,1,10,03,30,129,38,06,57,276,48,11,24,297,40,14,47,020,45*7B
17:54:11  $GPGSV,3,2,10,17,59,135,46,19,59,198,47,20,03,336,30,28,,,43*48
17:54:11  $GPGSV,3,3,10,36,48,022,46,49,48,337,48*79
17:54:11  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,29,79,31,348,43*62
17:54:11  $GLGSV,3,2,09,80,52,264,,81,26,134,33,82,51,195,44,83,32,255,26*66
17:54:11  $GLGSV,3,3,09,,,,26*68
17:54:11  $GNGLL,3352.55910,S,01836.68938,E,175411.00,A,D*67
17:54:12  $GNRMC,175412.00,A,3352.55910,S,01836.68936,E,0.109,,190822,,,D*7B
17:54:12  $GNVTG,,T,,M,0.109,N,0.201,K,D*33
17:54:12  $GNGGA,175412.00,3352.55910,S,01836.68936,E,2,11,0.94,226.2,M,31.2,M,,0000*50
17:54:12  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:12  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:12  $GPGSV,3,1,11,03,30,129,37,06,57,276,48,11,24,297,39,14,47,020,44*7A
17:54:12  $GPGSV,3,2,11,17,59,135,46,19,59,198,46,20,03,336,30,24,09,243,*7F
17:54:12  $GPGSV,3,3,11,28,,,43,36,48,022,44,49,48,337,47*78
17:54:12  $GLGSV,3,1,09,65,00,162,,66,24,113,37,67,21,057,27,79,31,348,45*6E
17:54:12  $GLGSV,3,2,09,80,52,264,,81,26,134,37,82,51,195,45,83,32,255,26*63
17:54:12  $GLGSV,3,3,09,,,,27*69
17:54:12  $GNGLL,3352.55910,S,01836.68936,E,175412.00,A,D*6A
17:54:13  $GNRMC,175413.00,A,3352.55909,S,01836.68937,E,0.066,,190822,,,D*7B
17:54:13  $GNVTG,,T,,M,0.066,N,0.121,K,D*3A
17:54:13  $GNGGA,175413.00,3352.55909,S,01836.68937,E,2,11,0.94,226.4,M,31.2,M,,0000*5E
17:54:13  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:13  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:13  $GPGSV,3,1,11,03,30,129,36,06,57,276,48,11,24,297,38,14,47,020,45*7B
17:54:13  $GPGSV,3,2,11,17,59,135,47,19,59,198,48,20,03,336,29,24,09,243,*78
17:54:13  $GPGSV,3,3,11,28,,,43,36,48,022,46,49,48,337,47*7A
17:54:13  $GLGSV,3,1,09,65,00,162,,66,24,113,33,67,21,057,28,79,31,348,45*65
17:54:13  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,47,83,32,255,27*63
17:54:13  $GLGSV,3,3,09,,,,26*68
17:54:13  $GNGLL,3352.55909,S,01836.68937,E,175413.00,A,D*62
17:54:14  $GNRMC,175414.00,A,3352.55907,S,01836.68938,E,0.057,,190822,,,D*7F
17:54:14  $GNVTG,,T,,M,0.057,N,0.106,K,D*3D
17:54:14  $GNGGA,175414.00,3352.55907,S,01836.68938,E,2,11,0.94,226.7,M,31.2,M,,0000*5B
17:54:14  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:14  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:14  $GPGSV,3,1,11,03,30,129,32,06,57,276,46,11,24,297,37,14,47,020,44*7F
17:54:14  $GPGSV,3,2,11,17,59,135,44,19,59,198,46,20,03,336,30,24,09,243,29*76
17:54:14  $GPGSV,3,3,11,28,,,42,36,48,022,45,49,48,337,44*7B
17:54:14  $GLGSV,3,1,09,65,00,162,,66,24,113,25,67,21,057,30,79,31,348,43*6D
17:54:14  $GLGSV,3,2,09,80,52,264,,81,26,134,33,82,51,195,45,83,32,255,28*69
17:54:14  $GLGSV,3,3,09,,,,27*69
17:54:14  $GNGLL,3352.55907,S,01836.68938,E,175414.00,A,D*64
17:54:15  $GNRMC,175415.00,A,3352.55904,S,01836.68942,E,0.056,,190822,,,D*71
17:54:15  $GNVTG,,T,,M,0.056,N,0.103,K,D*39
17:54:15  $GNGGA,175415.00,3352.55904,S,01836.68942,E,2,11,0.98,226.8,M,31.2,M,,0000*57
17:54:15  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.18,0.98,1.95*15
17:54:15  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.18,0.98,1.95*17
17:54:15  $GPGSV,3,1,11,03,30,129,36,06,57,276,47,11,24,297,37,14,47,020,44*7A
